c0,c1,c2,c3
Position,Velocity,Acceleration,Predecessor Distance
251.8576661,248.1530771,427.6126229,78.78341703
256.8388249,252.3756207,412.0726024,77.40197122
263.5839751,256.258971,391.2500172,75.71300737
270.1945852,258.9519122,363.9565063,73.95425687
276.0806529,260.4431051,332.0544097,73.08856964
282.6583828,261.8393748,296.6044591,71.68482349
289.0538173,260.3114922,255.92132,70.3599666
295.5443759,259.7781996,214.3772269,67.66520187
301.3806623,259.3535952,174.6385363,66.75283211
304.5468958,256.2381857,135.2100689,68.30084356
310.2922758,252.6325071,97.71518397,67.39955315
316.6931003,248.3622658,61.07400151,65.85993478
322.7072476,244.590889,25.29526091,64.58823141
328.4002506,241.5593672,-9.42930919,62.56722425
334.427509,239.2707524,-38.43517196,61.33839738
335.8316806,233.6641372,-64.32139499,64.89666285
340.7454656,227.1048476,-89.97839533,65.08602859
344.2471192,220.2966409,-115.0159957,65.23556118
348.8066776,213.1400971,-138.4285438,65.78747648
353.415523,205.8811843,-160.9879628,66.1827311
357.780432,199.6638547,-180.284716,66.94090783
362.2197705,194.1428519,-197.6716671,67.36598485
366.7479056,190.3876173,-209.9591736,67.64407521
371.1144874,187.5601203,-215.6629253,68.16095554
375.7260447,182.965324,-219.267429,68.55940558
379.9938273,178.7060964,-220.1465019,69.26668419
383.4241826,175.4135811,-218.7736985,69.66351759
387.6916901,173.5927801,-212.8465437,70.41531407
392.0256865,173.664027,-200.5407149,71.16817569
396.3249881,175.69685,-178.8874061,71.72072124
399.9449114,174.5726908,-156.2312848,72.12694689
404.4893169,174.1920032,-132.4020103,72.52028329
409.1496802,173.8953703,-109.5115758,72.89736748
413.9988248,174.0316717,-87.591498,72.97686994
418.9494675,174.913262,-67.6146663,72.93685682
422.7148551,175.8020525,-49.6183009,72.83877918
427.2135777,176.4466444,-33.70715647,73.28052092
433.0493103,179.0221151,-16.84754654,72.33113094
438.2363281,182.0057004,1.373851054,72.2928082
443.3590723,185.3714165,18.39664289,72.38784055
448.5266151,189.1238295,33.86140869,72.39740835
452.3663183,191.5618969,46.52732095,72.53104319
457.7152765,194.0116499,57.14236156,72.23245721
463.1727608,197.1039144,68.08262223,71.93862796
468.8081967,199.9899002,80.73677108,71.39369786
474.3113018,202.5762789,91.36492436,70.71228831
479.9429341,204.6058567,99.03379861,70.25534526
484.1533564,206.399572,104.3062346,70.04896417
491.0740319,209.2036248,107.4402188,69.48961281
496.1027849,212.0396338,109.5843101,68.11764744
500.7792888,213.0616251,108.5522608,68.84717709
506.1985357,213.8482783,103.8740145,68.67038011
511.6481238,214.8296338,97.38443484,68.53225894
517.1318556,216.0695596,90.45821317,68.38501525
522.6339811,217.2992357,83.75319699,68.11440091
528.3707435,218.328099,77.62535115,67.20736893
534.1057366,218.3030334,70.13547595,66.55451178
539.7292408,218.4429653,61.85941859,65.27655966
545.140735,218.3241923,53.43942165,64.82101272
550.5571108,218.1613687,45.22402252,64.40247406
555.8191308,217.4119278,36.57462456,64.17853435
559.5595521,215.5780279,26.53272394,64.50052746
564.8994426,213.426235,14.96840949,64.74498406
570.0282698,212.5434896,4.720795311,65.10833576
576.656541,211.8269673,-3.60441191,64.84130369
581.8262526,210.3279148,-12.06797483,65.00329521
587.4140128,209.8662766,-19.77400875,64.88908283
591.5534969,208.546621,-27.0804449,64.35779297
597.1849911,207.4292328,-33.22723081,63.94310999
602.2665916,206.5210907,-37.76010347,63.93068191
607.8113415,206.3228843,-39.8114388,63.67307785
612.6905152,206.3946701,-40.18145933,64.10372882
